City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,juneau,58.3019,-134.4197,-1.99,90,1,3.95,US,1738716791
351,orange,33.7,-117.7675,17.62,68,20,6.69,US,1738716347
352,san antonio de pale,-1.4014,5.6325,27.35,80,99,4.03,GQ,1738716793
353,sola,-13.8833,167.55,31.37,74,40,2.57,VU,1738716795
354,codrington,-38.2667,141.9667,19.1,48,7,8.04,AU,1738716796
355,yung shue wan,22.2333,114.1167,14.86,74,4,0.45,HK,1738716797
356,ain defla,36.2641,1.9679,6.71,86,0,1.1,DZ,1738716798
357,lianjiang,21.6467,110.2817,14.85,48,100,4.42,CN,1738716799
358,tongzhou,39.9053,116.5994,-6.94,30,0,1.0,CN,1738716800
359,vilyuysk,63.7553,121.6247,-39.21,100,63,1.35,RU,1738716802
